crude version 0.62, Copyright (C) 1999 Juha Laine and Sampo Saaristo
crude comes with ABSOLUTELY NO WARRANTY!
This is free software, and you are welcome to redistribute it
under GNU GENERAL PUBLIC LICENSE Version 2.
ID=30 SEQ=69 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.599555 Rx=1109936732.599550 SIZE=1472
ID=30 SEQ=70 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.609555 Rx=1109936732.609544 SIZE=1472
ID=30 SEQ=71 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.619555 Rx=1109936732.619538 SIZE=1472
ID=30 SEQ=72 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.629555 Rx=1109936732.629532 SIZE=1472
ID=30 SEQ=73 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.639555 Rx=1109936732.639526 SIZE=1472
ID=30 SEQ=74 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.649555 Rx=1109936732.649521 SIZE=1472
ID=30 SEQ=75 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.659555 Rx=1109936732.659514 SIZE=1472
ID=30 SEQ=76 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.669555 Rx=1109936732.669508 SIZE=1472
ID=30 SEQ=77 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.679555 Rx=1109936732.679503 SIZE=1472
ID=30 SEQ=78 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.689555 Rx=1109936732.689498 SIZE=1472
ID=30 SEQ=79 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.699555 Rx=1109936732.699492 SIZE=1472
ID=30 SEQ=80 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.709555 Rx=1109936732.709486 SIZE=1472
ID=30 SEQ=81 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.719555 Rx=1109936732.719480 SIZE=1472
ID=30 SEQ=82 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.729555 Rx=1109936732.729474 SIZE=1472
ID=30 SEQ=83 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.739555 Rx=1109936732.739468 SIZE=1472
ID=30 SEQ=84 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.749555 Rx=1109936732.749462 SIZE=1472
ID=30 SEQ=85 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.759555 Rx=1109936732.759457 SIZE=1472
ID=30 SEQ=86 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.769555 Rx=1109936732.769452 SIZE=1472
ID=30 SEQ=87 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.779555 Rx=1109936732.779570 SIZE=1472
ID=30 SEQ=88 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.789555 Rx=1109936732.789564 SIZE=1472
ID=30 SEQ=89 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.799555 Rx=1109936732.799558 SIZE=1472
ID=30 SEQ=90 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.809555 Rx=1109936732.809553 SIZE=1472
ID=30 SEQ=91 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.819555 Rx=1109936732.819546 SIZE=1472
ID=30 SEQ=92 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.829555 Rx=1109936732.829540 SIZE=1472
ID=30 SEQ=93 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.839555 Rx=1109936732.839534 SIZE=1472
ID=30 SEQ=94 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.849555 Rx=1109936732.849528 SIZE=1472
ID=30 SEQ=95 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.859555 Rx=1109936732.859522 SIZE=1472
ID=30 SEQ=96 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.869555 Rx=1109936732.869517 SIZE=1472
ID=30 SEQ=97 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.879555 Rx=1109936732.879511 SIZE=1472
ID=30 SEQ=98 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.889555 Rx=1109936732.889505 SIZE=1472
ID=30 SEQ=99 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.899555 Rx=1109936732.899499 SIZE=1472
ID=30 SEQ=100 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.909555 Rx=1109936732.909493 SIZE=1472
ID=30 SEQ=101 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.919555 Rx=1109936732.919487 SIZE=1472
ID=30 SEQ=102 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.929555 Rx=1109936732.929482 SIZE=1472
